seed,gridsize,ncount,method,besttour,runtime
45,5000,32,2,25602,194.957448
45,5000,32,4,24580,0.008473
45,5000,32,6,,
2,100,26,2,497,130.393872
2,100,26,4,452,0.242529
2,100,26,6,452,17.53006
37,100,27,2,514,75.750226
37,100,27,4,464,0.006955
37,100,27,6,464,32.247133
2,100,28,2,,
2,100,28,4,456,0.017467
2,100,28,6,456,69.433503
81,100,29,2,471,57.385421
81,100,29,4,428,0.013768
81,100,29,6,,
74,100,30,2,467,0.66426
74,100,30,4,454,0.005259
74,100,30,6,,
62,100,31,2,516,0.34593
62,100,31,4,495,0.003554
62,100,31,6,,
69,100,32,2,520,0.770994
69,100,32,4,467,0.003945
69,100,32,6,,
38,1000,26,2,4745,0.60313
38,1000,26,4,4202,0.003002
38,1000,26,6,4202,15.020947
83,1000,27,2,4295,3.413855
83,1000,27,4,4219,0.004531
83,1000,27,6,4219,32.30786
60,1000,28,2,,
60,1000,28,4,4207,0.011377
60,1000,28,6,4207,69.415841
49,1000,29,2,4211,2.981086
49,1000,29,4,4207,0.003208
49,1000,29,6,,
87,1000,30,2,5681,1.000485
87,1000,30,4,4987,0.003474
87,1000,30,6,,
52,1000,31,2,4862,5.443083
52,1000,31,4,4409,0.004042
52,1000,31,6,,
1,1000,32,2,4462,6.29556
1,1000,32,4,4462,0.003887
1,1000,32,6,,
27,5000,26,2,20825,4.657803
27,5000,26,4,19533,0.002472
27,5000,26,6,19533,15.014084
60,5000,27,2,24682,5.922992
60,5000,27,4,22206,0.003812
60,5000,27,6,22206,32.303065
92,5000,28,2,24565,1.930598
92,5000,28,4,21889,0.003889
92,5000,28,6,21889,69.421804
77,5000,29,2,21816,14.762008
77,5000,29,4,21138,0.003833
77,5000,29,6,,
75,5000,30,2,22205,3.334311
75,5000,30,4,21470,0.004256
75,5000,30,6,,
35,5000,31,2,26667,26.318515
35,5000,31,4,25441,0.008545
35,5000,31,6,,
51,5000,32,2,28866,24.446017
51,5000,32,4,25473,0.031418
51,5000,32,6,,
96,100,26,2,472,14.678176
96,100,26,4,425,0.004225
96,100,26,6,425,25.895601
7,100,27,2,537,3.803129
7,100,27,4,461,0.146466
7,100,27,6,,
61,100,28,2,473,0.60064
61,100,28,4,401,0.006028
61,100,28,6,,
39,100,29,2,421,3.039985
39,100,29,4,403,0.005762
39,100,29,6,,
9,100,30,2,513,95.286867
9,100,30,4,496,0.004072
9,100,30,6,,
27,100,31,2,523,95.926662
27,100,31,4,486,0.022115
27,100,31,6,,
75,100,32,2,511,1.670159
75,100,32,4,477,0.005456
75,100,32,6,,
74,1000,26,2,5686,3.926142
74,1000,26,4,4607,0.037814
74,1000,26,6,4607,15.144688
83,1000,27,2,4295,3.445373
83,1000,27,4,4219,0.004768
83,1000,27,6,4219,32.443146
83,1000,28,2,4311,0.379107
83,1000,28,4,4235,0.004705
83,1000,28,6,,
51,1000,29,2,4145,0.843333
51,1000,29,4,3865,0.239074
51,1000,29,6,,
53,1000,30,2,5000,4.352322
53,1000,30,4,4717,0.009791
53,1000,30,6,,
6,1000,31,2,5444,50.09563
6,1000,31,4,4978,0.024232
6,1000,31,6,,
21,1000,32,2,4507,14.646564
21,1000,32,4,4417,0.009243
21,1000,32,6,,
89,5000,26,2,24181,58.779509
89,5000,26,4,23389,0.018289
89,5000,26,6,23389,32.799258
46,5000,27,2,,
46,5000,27,4,23167,1.004214
46,5000,27,6,,
5,5000,28,2,24492,1.576489
5,5000,28,4,22060,0.002479
5,5000,28,6,22060,69.486117
61,5000,29,2,26751,419.338023
61,5000,29,4,25024,0.012988
61,5000,29,6,,
69,5000,30,2,,
69,5000,30,4,23760,0.009327
69,5000,30,6,,
75,5000,31,2,22411,5.402639
75,5000,31,4,21676,0.004491
75,5000,31,6,,
43,5000,32,2,26167,98.332061
43,5000,32,4,22120,0.091534
43,5000,32,6,,
79,100,26,2,486,2.612016
79,100,26,4,453,0.404192
79,100,26,6,,
53,100,27,2,381,0.111902
53,100,27,4,379,0.003052
53,100,27,6,,
1,100,28,2,387,1.007215
1,100,28,4,368,0.00297
1,100,28,6,,
86,100,29,2,,
86,100,29,4,427,0.129387
86,100,29,6,,
83,100,30,2,554,4.477507
83,100,30,4,495,0.005876
83,100,30,6,,
47,100,31,2,514,1.386292
47,100,31,4,486,0.005269
47,100,31,6,,
73,100,32,2,458,18.046849
73,100,32,4,413,0.013245
73,100,32,6,,
74,1000,26,2,5686,3.865477
74,1000,26,4,4607,0.037231
74,1000,26,6,4607,15.408478
88,1000,27,2,4709,0.36233
88,1000,27,4,4335,0.176145
88,1000,27,6,,
44,1000,28,2,4608,1.464569
44,1000,28,4,4124,0.003521
44,1000,28,6,,
48,1000,29,2,5059,132.687283
48,1000,29,4,4696,0.580507
48,1000,29,6,,
5,1000,30,2,4899,4.109573
5,1000,30,4,4634,0.003567
5,1000,30,6,,
82,1000,31,2,4587,0.792747
82,1000,31,4,4242,0.004174
82,1000,31,6,,
92,1000,32,2,4722,309.390764
92,1000,32,4,4239,0.042725
92,1000,32,6,,
74,5000,26,2,24517,20.938354
74,5000,26,4,22989,0.003185
74,5000,26,6,22989,15.094691
35,5000,27,2,25143,22.343822
35,5000,27,4,24633,0.00542
35,5000,27,6,24633,32.340637
39,5000,28,2,23590,11.568943
39,5000,28,4,21833,0.003384
39,5000,28,6,,
9,5000,29,2,25515,30.389996
9,5000,29,4,22928,1.217563
9,5000,29,6,,
66,5000,30,2,25889,41.461644
66,5000,30,4,22917,0.005326
66,5000,30,6,,
100,5000,31,2,24964,521.272367
100,5000,31,4,23165,0.005053
100,5000,31,6,,
91,5000,32,2,27001,119.10279
91,5000,32,4,22854,0.00474
91,5000,32,6,,
92,100,26,2,441,5.034276
92,100,26,4,410,0.003538
92,100,26,6,410,15.062072
95,100,27,2,502,6.990068
95,100,27,4,470,0.017251
95,100,27,6,,
91,100,28,2,530,6.498006
91,100,28,4,479,0.005149
91,100,28,6,,
60,100,29,2,556,6.428249
60,100,29,4,488,0.004885
60,100,29,6,,
60,100,30,2,575,7.334024
60,100,30,4,496,0.005493
60,100,30,6,,
64,100,31,2,437,2.922332
64,100,31,4,410,0.004156
64,100,31,6,,
30,100,32,2,517,0.765511
30,100,32,4,480,0.003425
30,100,32,6,,
51,1000,26,2,3850,3.197214
51,1000,26,4,3757,0.004483
51,1000,26,6,3757,15.121206
29,1000,27,2,4276,0.248897
29,1000,27,4,4197,0.002175
29,1000,27,6,4197,32.432131
59,1000,28,2,4385,1.770842
59,1000,28,4,4167,0.003154
59,1000,28,6,,
48,1000,29,2,5059,117.189312
48,1000,29,4,4696,0.02201
48,1000,29,6,,
66,1000,30,2,4587,28.716809
66,1000,30,4,4407,0.00398
66,1000,30,6,,
99,1000,31,2,5507,17.165757
99,1000,31,4,5178,0.052194
99,1000,31,6,,
78,1000,32,2,5158,4.469775
78,1000,32,4,4646,0.006289
78,1000,32,6,,
42,5000,26,2,21477,172.650845
42,5000,26,4,20599,0.057519
42,5000,26,6,,
62,5000,27,2,23930,290.38103
62,5000,27,4,22557,0.009079
62,5000,27,6,22557,32.531105
50,5000,28,2,28702,96.073154
50,5000,28,4,23116,0.003363
50,5000,28,6,23116,85.494083
45,5000,29,2,23590,73.065763
45,5000,29,4,23508,0.026341
45,5000,29,6,,
57,5000,30,2,22743,18.734129
57,5000,30,4,20843,0.004319
57,5000,30,6,,
24,5000,31,2,28511,9.302659
24,5000,31,4,24995,0.007823
24,5000,31,6,,
43,5000,32,2,26167,98.371607
43,5000,32,4,22120,0.118005
43,5000,32,6,,
40,100,26,2,431,1.733093
40,100,26,4,399,0.002166
40,100,26,6,399,14.998977
1,100,27,2,386,33.836002
1,100,27,4,367,0.007002
1,100,27,6,367,32.291147
36,100,28,2,469,46.115132
36,100,28,4,422,0.007686
36,100,28,6,422,69.449184
63,100,29,2,436,3.038692
63,100,29,4,415,0.009514
63,100,29,6,,
74,100,30,2,467,0.661945
74,100,30,4,454,0.00515
74,100,30,6,,
31,100,31,2,504,63.894019
31,100,31,4,472,0.00422
31,100,31,6,,
25,100,32,2,,
25,100,32,4,425,0.018141
25,100,32,6,,
87,1000,26,2,5370,1.202067
87,1000,26,4,4791,0.002601
87,1000,26,6,4791,15.013042
3,1000,27,2,4681,15.834923
3,1000,27,4,4304,0.004616
3,1000,27,6,4304,32.285306
32,1000,28,2,5483,19.722311
32,1000,28,4,5083,0.006524
32,1000,28,6,5083,69.416247
77,1000,29,2,5119,2.233839
77,1000,29,4,4676,0.004223
77,1000,29,6,,
16,1000,30,2,5307,9.090638
16,1000,30,4,4507,0.003435
16,1000,30,6,,
74,1000,31,2,5990,34.235696
74,1000,31,4,5066,0.054026
74,1000,31,6,,
53,1000,32,2,5231,24.105065
53,1000,32,4,4969,0.011404
53,1000,32,6,,
83,5000,26,2,20575,5.25968
83,5000,26,4,20171,0.003027
83,5000,26,6,20171,14.997652
5,5000,27,2,22724,0.245035
5,5000,27,4,20814,0.002165
5,5000,27,6,20814,32.299481
20,5000,28,2,21679,37.51772
20,5000,28,4,20318,0.003675
20,5000,28,6,20318,69.42818
26,5000,29,2,23688,17.714733
26,5000,29,4,21895,0.004821
26,5000,29,6,,
20,5000,30,2,21917,163.937769
20,5000,30,4,20909,0.007081
20,5000,30,6,,
22,5000,31,2,22273,11.11394
22,5000,31,4,21401,0.004212
22,5000,31,6,,
57,5000,32,2,22557,43.558631
57,5000,32,4,21103,0.005405
57,5000,32,6,,
11,100,26,2,489,10.135801
11,100,26,4,449,0.005102
11,100,26,6,449,16.458762
40,100,27,2,429,13.75823
40,100,27,4,416,3.260012
40,100,27,6,,
46,100,28,2,588,3.366893
46,100,28,4,457,2.874454
46,100,28,6,,
35,100,29,2,456,7.233184
35,100,29,4,431,0.531738
35,100,29,6,,
46,100,30,2,576,3.094932
46,100,30,4,480,1.581269
46,100,30,6,,
52,100,31,2,445,7.600669
52,100,31,4,438,1.227289
52,100,31,6,,
5,100,32,2,500,292.661885
5,100,32,4,459,0.28769
5,100,32,6,,
96,1000,26,2,4081,20.094296
96,1000,26,4,3736,0.004701
96,1000,26,6,3736,34.016378
29,1000,27,2,4276,0.251403
29,1000,27,4,4197,0.00221
29,1000,27,6,,
93,1000,28,2,4379,490.473088
93,1000,28,4,4200,0.019746
93,1000,28,6,,
70,1000,29,2,5595,0.541162
70,1000,29,4,4685,0.002713
70,1000,29,6,,
73,1000,30,2,,
73,1000,30,4,4564,0.008567
73,1000,30,6,,
80,1000,31,2,4585,0.382697
80,1000,31,4,4412,0.002878
80,1000,31,6,,
88,1000,32,2,4810,3.851942
88,1000,32,4,4577,0.006648
88,1000,32,6,,
7,5000,26,2,,
7,5000,26,4,21884,0.60965
7,5000,26,6,,
30,5000,27,2,22840,2.007535
30,5000,27,4,21695,0.003491
30,5000,27,6,,
85,5000,28,2,24054,0.394777
85,5000,28,4,22961,0.004613
85,5000,28,6,,
24,5000,29,2,26702,14.548981
24,5000,29,4,24869,0.027457
24,5000,29,6,,
62,5000,30,2,24374,71.658101
62,5000,30,4,23149,0.005292
62,5000,30,6,,
5,5000,31,2,29172,15.980198
5,5000,31,4,24391,0.005562
5,5000,31,6,,
95,5000,32,2,25692,72.763612
95,5000,32,4,24309,0.00623
95,5000,32,6,,
96,100,26,2,472,14.717906
96,100,26,4,425,0.004248
96,100,26,6,425,102.005761
78,100,27,2,479,1.339625
78,100,27,4,425,0.005128
78,100,27,6,425,32.470224
68,100,28,2,469,1.613205
68,100,28,4,451,0.005703
68,100,28,6,,
39,100,29,2,421,3.036894
39,100,29,4,403,0.00582
39,100,29,6,,
81,100,30,2,515,73.089033
81,100,30,4,435,0.015698
81,100,30,6,,
79,100,31,2,515,1.433265
79,100,31,4,468,0.003723
79,100,31,6,,
45,100,32,2,458,5.911323
45,100,32,4,443,0.004845
45,100,32,6,,
50,1000,26,2,4109,0.056985
50,1000,26,4,4028,0.002015
50,1000,26,6,4028,15.04596
58,1000,27,2,5101,54.743983
58,1000,27,4,4783,0.511348
58,1000,27,6,4783,55.089048
23,1000,28,2,4849,0.1297
23,1000,28,4,4009,0.006459
23,1000,28,6,,
100,1000,29,2,4924,3.114086
100,1000,29,4,4483,0.007617
100,1000,29,6,,
68,1000,30,2,4713,20.772663
68,1000,30,4,4450,0.009636
68,1000,30,6,,
1,1000,31,2,4390,14.845845
1,1000,31,4,4390,0.004566
1,1000,31,6,,
22,1000,32,2,,
22,1000,32,4,4010,0.023406
22,1000,32,6,,
53,5000,26,2,24320,3.264456
53,5000,26,4,23730,0.002629
53,5000,26,6,23730,15.09927
58,5000,27,2,23279,1.548323
58,5000,27,4,22730,0.004081
58,5000,27,6,22730,32.493193
17,5000,28,2,20674,1.051001
17,5000,28,4,20513,0.003029
17,5000,28,6,20513,70.403697
73,5000,29,2,21999,1.013505
73,5000,29,4,20777,0.225986
73,5000,29,6,,
49,5000,30,2,24035,11.59986
49,5000,30,4,23356,0.008037
49,5000,30,6,,
47,5000,31,2,24983,16.277097
47,5000,31,4,21666,0.003735
47,5000,31,6,,
81,5000,32,2,27361,571.522569
81,5000,32,4,24807,0.011862
81,5000,32,6,,
94,100,26,2,467,0.64722
94,100,26,4,441,0.006026
94,100,26,6,441,15.05698
5,100,27,2,485,2.598491
5,100,27,4,441,0.015256
5,100,27,6,441,32.376701
70,100,28,2,455,11.389844
70,100,28,4,419,0.003567
70,100,28,6,,
13,100,29,2,544,26.328986
13,100,29,4,459,0.005813
13,100,29,6,,
37,100,30,2,500,13.335104
37,100,30,4,473,0.00778
37,100,30,6,,
48,100,31,2,401,9.436988
48,100,31,4,401,0.003368
48,100,31,6,,
38,100,32,2,439,16.713596
38,100,32,4,428,0.00567
38,100,32,6,,
29,1000,26,2,4003,0.148138
29,1000,26,4,3924,0.002004
29,1000,26,6,3924,17.064231
49,1000,27,2,4116,0.339009
49,1000,27,4,4106,0.231982
49,1000,27,6,,
7,1000,28,2,3653,0.255169
7,1000,28,4,3653,0.003198
7,1000,28,6,,
11,1000,29,2,5353,15.591137
11,1000,29,4,4419,0.004182
11,1000,29,6,,
44,1000,30,2,4664,1.160828
44,1000,30,4,4180,0.008842
44,1000,30,6,,
83,1000,31,2,4545,2.180607
83,1000,31,4,4467,0.00541
83,1000,31,6,,
33,1000,32,2,4457,48.00926
33,1000,32,4,4442,0.119743
33,1000,32,6,,
3,5000,26,2,24953,24.614229
3,5000,26,4,24744,1.676934
3,5000,26,6,,
35,5000,27,2,25143,38.260176
35,5000,27,4,24633,1.863439
35,5000,27,6,,
52,5000,28,2,23836,0.843616
52,5000,28,4,22681,2.838914
52,5000,28,6,,
1,5000,29,2,26345,50.263855
1,5000,29,4,24148,1.163227
1,5000,29,6,,
59,5000,30,2,25961,480.476933
59,5000,30,4,22637,0.00398
59,5000,30,6,,
20,5000,31,2,22093,92.029382
20,5000,31,4,21200,0.007964
20,5000,31,6,,
95,5000,32,2,25692,72.900466
95,5000,32,4,24309,0.006275
95,5000,32,6,,
63,100,26,2,403,5.09242
63,100,26,4,388,0.005382
63,100,26,6,388,15.015195
94,100,27,2,463,0.580288
94,100,27,4,442,0.007133
94,100,27,6,442,32.303756
48,100,28,2,374,2.031336
48,100,28,4,374,0.002921
48,100,28,6,374,69.457102
64,100,29,2,430,4.131222
64,100,29,4,409,0.004537
64,100,29,6,,
16,100,30,2,508,0.376922
16,100,30,4,473,0.003951
16,100,30,6,,
71,100,31,2,513,6.001513
71,100,31,4,491,0.032445
71,100,31,6,,
44,100,32,2,505,193.282024
44,100,32,4,489,0.123646
44,100,32,6,,
15,1000,26,2,3921,0.295046
15,1000,26,4,3921,0.002583
15,1000,26,6,3921,15.020423
54,1000,27,2,4154,0.116367
54,1000,27,4,4075,0.002481
54,1000,27,6,4075,32.344401
83,1000,28,2,4311,0.378441
83,1000,28,4,4235,0.004688
83,1000,28,6,,
93,1000,29,2,4652,586.16742
93,1000,29,4,4334,0.031308
93,1000,29,6,,
46,1000,30,2,5851,8.84863
46,1000,30,4,5159,0.017408
46,1000,30,6,,
43,1000,31,2,4878,8.083658
43,1000,31,4,4492,0.007436
43,1000,31,6,,
4,1000,32,2,5155,5.001504
4,1000,32,4,4812,0.007979
4,1000,32,6,,
32,5000,26,2,26370,8.411966
32,5000,26,4,21632,0.003853
32,5000,26,6,21632,15.016359
70,5000,27,2,23145,51.884062
70,5000,27,4,22616,0.008601
70,5000,27,6,22616,32.302547
24,5000,28,2,25828,3.767334
24,5000,28,4,24415,0.008172
24,5000,28,6,24415,69.43743
75,5000,29,2,22174,2.731177
75,5000,29,4,21439,0.003638
75,5000,29,6,,
76,5000,30,2,26083,42.290333
76,5000,30,4,24599,0.00555
76,5000,30,6,,
43,5000,31,2,22922,35.885735
43,5000,31,4,21882,0.058898
43,5000,31,6,,
55,5000,32,2,29965,5.701968
55,5000,32,4,26317,0.004976
55,5000,32,6,,
67,100,26,2,489,7.600086
67,100,26,4,422,0.005207
67,100,26,6,422,23.882513
21,100,27,2,488,21.224156
21,100,27,4,450,0.534868
21,100,27,6,,
69,100,28,2,494,0.493627
69,100,28,4,447,0.003868
69,100,28,6,,
59,100,29,2,,
59,100,29,4,466,0.008289
59,100,29,6,,
36,100,30,2,460,17.692049
36,100,30,4,429,0.011197
36,100,30,6,,
54,100,31,2,505,190.846064
54,100,31,4,463,0.021477
54,100,31,6,,
47,100,32,2,522,1.705226
47,100,32,4,489,0.004671
47,100,32,6,,
45,1000,26,2,5267,33.560612
45,1000,26,4,4853,0.00696
45,1000,26,6,4853,15.042298
16,1000,27,2,5047,7.631586
16,1000,27,4,4315,0.002864
16,1000,27,6,4315,32.489137
59,1000,28,2,4385,1.781245
59,1000,28,4,4167,0.003149
59,1000,28,6,,
23,1000,29,2,4876,0.166287
23,1000,29,4,4036,0.007143
23,1000,29,6,,
45,1000,30,2,5751,1.507333
45,1000,30,4,4932,0.004227
45,1000,30,6,,
24,1000,31,2,5579,16.47772
24,1000,31,4,4788,0.010367
24,1000,31,6,,
15,1000,32,2,4661,7.702441
15,1000,32,4,4395,0.011159
15,1000,32,6,,
40,5000,26,2,21278,339.112252
40,5000,26,4,20629,3.989426
40,5000,26,6,,
76,5000,27,2,,
76,5000,27,4,24569,0.014927
76,5000,27,6,24569,32.386093
1,5000,28,2,24575,23.619549
1,5000,28,4,23333,0.004062
1,5000,28,6,23333,69.533619
5,5000,29,2,25048,3.993989
5,5000,29,4,22419,0.003589
5,5000,29,6,,
61,5000,30,2,,
61,5000,30,4,25364,0.030999
61,5000,30,6,,
60,5000,31,2,26548,33.705253
60,5000,31,4,24331,0.019666
60,5000,31,6,,
68,5000,32,2,27973,12.652939
68,5000,32,4,22901,0.006773
68,5000,32,6,,
98,100,26,2,412,6.015838
98,100,26,4,380,0.010839
98,100,26,6,380,15.055326
12,100,27,2,525,18.968389
12,100,27,4,488,0.013239
12,100,27,6,488,32.387456
79,100,28,2,486,4.146342
79,100,28,4,454,0.006222
79,100,28,6,,
62,100,29,2,502,3.391725
62,100,29,4,479,0.139841
62,100,29,6,,
4,100,30,2,515,12.10252
4,100,30,4,489,0.003715
4,100,30,6,,
82,100,31,2,455,81.050274
82,100,31,4,428,0.063841
82,100,31,6,,
64,100,32,2,460,2.909599
64,100,32,4,426,0.004474
64,100,32,6,,
45,1000,26,2,5267,33.499918
45,1000,26,4,4853,0.006749
45,1000,26,6,4853,15.046263
27,1000,27,2,4327,60.30924
27,1000,27,4,4168,0.005817
27,1000,27,6,4168,32.409075
95,1000,28,2,5021,17.923042
95,1000,28,4,4687,0.008327
95,1000,28,6,,
48,1000,29,2,5059,107.543873
48,1000,29,4,4696,0.021989
48,1000,29,6,,
20,1000,30,2,5232,107.285557
20,1000,30,4,4406,0.502581
20,1000,30,6,,
1,1000,31,2,4390,21.616346
1,1000,31,4,4390,0.500011
1,1000,31,6,,
54,1000,32,2,4623,12.175319
54,1000,32,4,4439,0.077077
54,1000,32,6,,
37,5000,26,2,22698,15.756787
37,5000,26,4,22271,1.130555
37,5000,26,6,,
76,5000,27,2,,
76,5000,27,4,24569,0.014683
76,5000,27,6,24569,32.301535
43,5000,28,2,24833,1.063597
43,5000,28,4,20549,0.006579
43,5000,28,6,,
35,5000,29,2,25574,97.249655
35,5000,29,4,25024,0.0138
35,5000,29,6,,
37,5000,30,2,25664,12.601418
37,5000,30,4,23985,0.049578
37,5000,30,6,,
4,5000,31,2,25928,153.62847
4,5000,31,4,23776,0.101095
4,5000,31,6,,
53,5000,32,2,28694,81.956277
53,5000,32,4,25545,0.004735
53,5000,32,6,,
4,100,26,2,449,33.951772
4,100,26,4,422,0.00607
4,100,26,6,422,125.115146
18,100,27,2,448,0.521265
18,100,27,4,436,0.004107
18,100,27,6,436,35.085536
39,100,28,2,418,0.501532
39,100,28,4,398,0.463495
39,100,28,6,,
57,100,29,2,483,20.376233
57,100,29,4,421,0.0117
57,100,29,6,,
37,100,30,2,500,13.610358
37,100,30,4,473,0.007958
37,100,30,6,,
96,100,31,2,,
96,100,31,4,439,0.883469
96,100,31,6,,
44,100,32,2,505,424.151512
44,100,32,4,489,0.106228
44,100,32,6,,
4,1000,26,2,5137,0.904057
4,1000,26,4,4333,0.003027
4,1000,26,6,4333,15.064522
74,1000,27,2,5771,7.790798
74,1000,27,4,4692,0.040779
74,1000,27,6,4692,37.09175
20,1000,28,2,4563,3.760435
20,1000,28,4,4296,0.007276
20,1000,28,6,4296,70.864629
38,1000,29,2,5051,5.987009
38,1000,29,4,4511,0.12877
38,1000,29,6,,
91,1000,30,2,5199,4.546375
91,1000,30,4,4572,0.012695
91,1000,30,6,,
61,1000,31,2,4872,27.780716
61,1000,31,4,4610,0.005373
61,1000,31,6,,
99,1000,32,2,5517,25.685601
99,1000,32,4,5188,0.020354
99,1000,32,6,,
60,5000,26,2,24020,3.017775
60,5000,26,4,21882,0.029722
60,5000,26,6,21882,15.050907
54,5000,27,2,22022,22.853391
54,5000,27,4,21441,0.002843
54,5000,27,6,,
50,5000,28,2,28702,96.192003
50,5000,28,4,23116,0.003404
50,5000,28,6,,
82,5000,29,2,23626,5.538046
82,5000,29,4,22206,0.003963
82,5000,29,6,,
36,5000,30,2,21962,3.661385
36,5000,30,4,21913,0.003607
36,5000,30,6,,
17,5000,31,2,22637,1.019015
17,5000,31,4,22050,1.053598
17,5000,31,6,,
79,5000,32,2,24622,27.648873
